roundNo,itemPrice,card1Predict,card1ForecastNext,card1ForecastNextNxt,card2Predict,card2ForecastNext,card2ForecastNextNxt,card3Predict,card3ForecastNext,card3ForecastNextNxt,card4Predict,card4ForecastNext,card4ForecastNextNxt,State,Type,itemDesc,itemIconURL,card1PredictF,card1ForecastNextF,card1ForecastNextNxtF,card2PredictF,card2ForecastNextF,card2ForecastNextNxtF,card3PredictF,card3ForecastNextF,card3ForecastNextNxtF,card4PredictF,card4ForecastNextF,card4ForecastNextNxtF,,
0," 158,376 "," 126,700 "," 166,294 "," 197,969 "," 134,619 "," 161,543 "," 193,852 "," 174,213 "," 200,345 "," 238,411 "," 148,081 "," 170,293 "," 202,649 ",CO,3B,Unparalleled three-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/3-1.png,"$ 158,376","$ 126,700","$ 166,294","$ 197,969","$ 134,619","$ 161,543","$ 193,852","$ 174,213","$ 200,345","$ 238,411","$ 148,081","$ 170,293","$ 202,649",
0," 179,429 "," 143,543 "," 188,401 "," 224,287 "," 152,515 "," 183,018 "," 219,621 "," 197,372 "," 226,978 "," 270,104 "," 167,766 "," 192,931 "," 229,588 ",CO,3B,Sophisticated three-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/3-2.png,"$ 179,429","$ 143,543","$ 188,401","$ 224,287","$ 152,515","$ 183,018","$ 219,621","$ 197,372","$ 226,978","$ 270,104","$ 167,766","$ 192,931","$ 229,588",
0," 183,554 "," 146,843 "," 192,731 "," 229,442 "," 156,021 "," 187,225 "," 224,670 "," 201,909 "," 232,195 "," 276,312 "," 171,623 "," 197,366 "," 234,865 ",CO,3B,Warm three-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/3-3.png,"$ 183,554","$ 146,843","$ 192,731","$ 229,442","$ 156,021","$ 187,225","$ 224,670","$ 201,909","$ 232,195","$ 276,312","$ 171,623","$ 197,366","$ 234,865",
0," 193,849 "," 155,079 "," 203,542 "," 242,311 "," 164,772 "," 197,726 "," 237,271 "," 213,234 "," 245,219 "," 291,811 "," 181,249 "," 208,436 "," 248,039 ",CO,3B,Marvelous three-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/3-4.png,"$ 193,849","$ 155,079","$ 203,542","$ 242,311","$ 164,772","$ 197,726","$ 237,271","$ 213,234","$ 245,219","$ 291,811","$ 181,249","$ 208,436","$ 248,039",
0," 184,675 "," 147,740 "," 193,909 "," 230,844 "," 156,974 "," 188,368 "," 226,042 "," 203,142 "," 233,614 "," 278,000 "," 172,671 "," 198,572 "," 236,300 ",CO,3B,Welcoming three-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/3-5.png,"$ 184,675","$ 147,740","$ 193,909","$ 230,844","$ 156,974","$ 188,368","$ 226,042","$ 203,142","$ 233,614","$ 278,000","$ 172,671","$ 198,572","$ 236,300",
0," 190,051 "," 152,041 "," 199,553 "," 237,563 "," 161,543 "," 193,852 "," 232,622 "," 209,056 "," 240,414 "," 286,093 "," 177,697 "," 204,352 "," 243,179 ",CO,0B,Exceptional condo in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/0-1.png,"$ 190,051","$ 152,041","$ 199,553","$ 237,563","$ 161,543","$ 193,852","$ 232,622","$ 209,056","$ 240,414","$ 286,093","$ 177,697","$ 204,352","$ 243,179",
0," 174,213 "," 139,371 "," 182,924 "," 217,766 "," 148,081 "," 177,697 "," 213,237 "," 191,634 "," 220,380 "," 262,252 "," 162,889 "," 187,323 "," 222,914 ",CO,0B,Soothing condo in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/0-2.png,"$ 174,213","$ 139,371","$ 182,924","$ 217,766","$ 148,081","$ 177,697","$ 213,237","$ 191,634","$ 220,380","$ 262,252","$ 162,889","$ 187,323","$ 222,914",
0," 197,372 "," 157,898 "," 207,241 "," 246,715 "," 167,766 "," 201,320 "," 241,584 "," 217,109 "," 249,676 "," 297,114 "," 184,543 "," 212,224 "," 252,547 ",CO,0B,Timeless condo in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/0-3.png,"$ 197,372","$ 157,898","$ 207,241","$ 246,715","$ 167,766","$ 201,320","$ 241,584","$ 217,109","$ 249,676","$ 297,114","$ 184,543","$ 212,224","$ 252,547",
0," 201,909 "," 161,527 "," 212,004 "," 252,386 "," 171,623 "," 205,947 "," 247,136 "," 222,100 "," 255,415 "," 303,944 "," 188,785 "," 217,103 "," 258,352 ",CO,0B,Warm condo in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/0-4.png,"$ 201,909","$ 161,527","$ 212,004","$ 252,386","$ 171,623","$ 205,947","$ 247,136","$ 222,100","$ 255,415","$ 303,944","$ 188,785","$ 217,103","$ 258,352",
0," 213,234 "," 170,587 "," 223,896 "," 266,543 "," 181,249 "," 217,499 "," 260,999 "," 234,557 "," 269,741 "," 320,992 "," 199,374 "," 229,280 "," 272,843 ",CO,1B,Sun-drenched condo in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/0-5.png,"$ 213,234","$ 170,587","$ 223,896","$ 266,543","$ 181,249","$ 217,499","$ 260,999","$ 234,557","$ 269,741","$ 320,992","$ 199,374","$ 229,280","$ 272,843",
1," 140,009 "," 112,007 "," 147,010 "," 175,011 "," 119,008 "," 142,809 "," 171,371 "," 154,010 "," 177,112 "," 210,763 "," 130,909 "," 150,545 "," 179,148 ",CO,1B,Harmonious one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/1-5.png,"$ 140,009","$ 112,007","$ 147,010","$ 175,011","$ 119,008","$ 142,809","$ 171,371","$ 154,010","$ 177,112","$ 210,763","$ 130,909","$ 150,545","$ 179,148",
1," 143,227 "," 114,582 "," 150,389 "," 179,034 "," 121,743 "," 146,092 "," 175,310 "," 157,550 "," 181,183 "," 215,607 "," 133,918 "," 154,005 "," 183,266 ",CO,1B,Timeless one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/1-4.png,"$ 143,227","$ 114,582","$ 150,389","$ 179,034","$ 121,743","$ 146,092","$ 175,310","$ 157,550","$ 181,183","$ 215,607","$ 133,918","$ 154,005","$ 183,266",
1," 151,261 "," 121,009 "," 158,824 "," 189,076 "," 128,572 "," 154,286 "," 185,144 "," 166,387 "," 191,345 "," 227,701 "," 141,429 "," 162,643 "," 193,546 ",CO,1B,Timeless one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/1-3.png,"$ 151,261","$ 121,009","$ 158,824","$ 189,076","$ 128,572","$ 154,286","$ 185,144","$ 166,387","$ 191,345","$ 227,701","$ 141,429","$ 162,643","$ 193,546",
1," 144,102 "," 115,282 "," 151,308 "," 180,128 "," 122,487 "," 146,984 "," 176,381 "," 158,513 "," 182,290 "," 216,925 "," 134,736 "," 154,946 "," 184,386 ",CO,1B,Striking one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/1-2.png,"$ 144,102","$ 115,282","$ 151,308","$ 180,128","$ 122,487","$ 146,984","$ 176,381","$ 158,513","$ 182,290","$ 216,925","$ 134,736","$ 154,946","$ 184,386",
1," 148,297 "," 118,638 "," 155,712 "," 185,371 "," 126,053 "," 151,263 "," 181,516 "," 163,127 "," 187,596 "," 223,239 "," 138,658 "," 159,457 "," 189,753 ",CO,2B,Divine one- bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/1-1.png,"$ 148,297","$ 118,638","$ 155,712","$ 185,371","$ 126,053","$ 151,263","$ 181,516","$ 163,127","$ 187,596","$ 223,239","$ 138,658","$ 159,457","$ 189,753",
1," 168,011 "," 134,409 "," 176,412 "," 210,014 "," 142,809 "," 171,371 "," 205,646 "," 184,812 "," 212,534 "," 252,915 "," 157,090 "," 180,654 "," 214,978 ",CO,2B,Fabulous two-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/2-5.png,"$ 168,011","$ 134,409","$ 176,412","$ 210,014","$ 142,809","$ 171,371","$ 205,646","$ 184,812","$ 212,534","$ 252,915","$ 157,090","$ 180,654","$ 214,978",
1," 171,873 "," 137,498 "," 180,467 "," 214,841 "," 146,092 "," 175,310 "," 210,372 "," 189,060 "," 217,419 "," 258,729 "," 160,701 "," 184,806 "," 219,919 ",CO,2B,Timeless two-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/2-4.png,"$ 171,873","$ 137,498","$ 180,467","$ 214,841","$ 146,092","$ 175,310","$ 210,372","$ 189,060","$ 217,419","$ 258,729","$ 160,701","$ 184,806","$ 219,919",
1," 181,513 "," 145,211 "," 190,589 "," 226,892 "," 154,286 "," 185,144 "," 222,172 "," 199,665 "," 229,614 "," 273,241 "," 169,715 "," 195,172 "," 232,255 ",CO,2B,Unparalleled two-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/2-3.png,"$ 181,513","$ 145,211","$ 190,589","$ 226,892","$ 154,286","$ 185,144","$ 222,172","$ 199,665","$ 229,614","$ 273,241","$ 169,715","$ 195,172","$ 232,255",
1," 172,923 "," 138,338 "," 181,569 "," 216,154 "," 146,984 "," 176,381 "," 211,658 "," 190,215 "," 218,747 "," 260,309 "," 161,683 "," 185,935 "," 221,263 ",CO,2B,Sophisticated two-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/2-2.png,"$ 172,923","$ 138,338","$ 181,569","$ 216,154","$ 146,984","$ 176,381","$ 211,658","$ 190,215","$ 218,747","$ 260,309","$ 161,683","$ 185,935","$ 221,263",
1," 177,957 "," 142,365 "," 186,854 "," 222,446 "," 151,263 "," 181,516 "," 217,819 "," 195,752 "," 225,115 "," 267,887 "," 166,389 "," 191,348 "," 227,704 ",CO,3B,Welcoming two-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/2-1.png,"$ 177,957","$ 142,365","$ 186,854","$ 222,446","$ 151,263","$ 181,516","$ 217,819","$ 195,752","$ 225,115","$ 267,887","$ 166,389","$ 191,348","$ 227,704",
1," 163,127 "," 130,501 "," 171,283 "," 203,909 "," 138,658 "," 166,389 "," 199,667 "," 179,440 "," 206,355 "," 245,563 "," 152,524 "," 175,402 "," 208,729 ",CO,3B,Harmonious three-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/3-5.png,"$ 163,127","$ 130,501","$ 171,283","$ 203,909","$ 138,658","$ 166,389","$ 199,667","$ 179,440","$ 206,355","$ 245,563","$ 152,524","$ 175,402","$ 208,729",
1," 184,812 "," 147,850 "," 194,053 "," 231,015 "," 157,090 "," 188,508 "," 226,210 "," 203,293 "," 233,787 "," 278,207 "," 172,799 "," 198,719 "," 236,476 ",CO,3B,Striking three-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/3-4.png,"$ 184,812","$ 147,850","$ 194,053","$ 231,015","$ 157,090","$ 188,508","$ 226,210","$ 203,293","$ 233,787","$ 278,207","$ 172,799","$ 198,719","$ 236,476",
1," 189,060 "," 151,248 "," 198,513 "," 236,325 "," 160,701 "," 192,841 "," 231,410 "," 207,966 "," 239,161 "," 284,602 "," 176,771 "," 203,287 "," 241,911 ",CO,3B,Enticing three-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/3-3.png,"$ 189,060","$ 151,248","$ 198,513","$ 236,325","$ 160,701","$ 192,841","$ 231,410","$ 207,966","$ 239,161","$ 284,602","$ 176,771","$ 203,287","$ 241,911",
1," 199,665 "," 159,732 "," 209,648 "," 249,581 "," 169,715 "," 203,658 "," 244,390 "," 219,631 "," 252,576 "," 300,565 "," 186,686 "," 214,689 "," 255,480 ",CO,3B,Warm three-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/3-2.png,"$ 199,665","$ 159,732","$ 209,648","$ 249,581","$ 169,715","$ 203,658","$ 244,390","$ 219,631","$ 252,576","$ 300,565","$ 186,686","$ 214,689","$ 255,480",
1," 190,215 "," 152,172 "," 199,726 "," 237,769 "," 161,683 "," 194,019 "," 232,823 "," 209,237 "," 240,622 "," 286,340 "," 177,851 "," 204,529 "," 243,389 ",CO,0B,Discerning three-bedroom in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/3-1.png,"$ 190,215","$ 152,172","$ 199,726","$ 237,769","$ 161,683","$ 194,019","$ 232,823","$ 209,237","$ 240,622","$ 286,340","$ 177,851","$ 204,529","$ 243,389",
1," 195,752 "," 156,602 "," 205,540 "," 244,690 "," 166,389 "," 199,667 "," 239,601 "," 215,327 "," 247,627 "," 294,676 "," 183,028 "," 210,483 "," 250,474 ",CO,0B,Alluring condo in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/0-5.png,"$ 195,752","$ 156,602","$ 205,540","$ 244,690","$ 166,389","$ 199,667","$ 239,601","$ 215,327","$ 247,627","$ 294,676","$ 183,028","$ 210,483","$ 250,474",
1," 179,440 "," 143,552 "," 188,412 "," 224,299 "," 152,524 "," 183,028 "," 219,634 "," 197,384 "," 226,991 "," 270,119 "," 167,776 "," 192,942 "," 229,601 ",CO,0B,Stunning condo in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/0-4.png,"$ 179,440","$ 143,552","$ 188,412","$ 224,299","$ 152,524","$ 183,028","$ 219,634","$ 197,384","$ 226,991","$ 270,119","$ 167,776","$ 192,942","$ 229,601",
1," 203,293 "," 162,635 "," 213,458 "," 254,117 "," 172,799 "," 207,359 "," 248,831 "," 223,623 "," 257,166 "," 306,028 "," 190,079 "," 218,591 "," 260,124 ",CO,0B,Brilliant condo in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/0-3.png,"$ 203,293","$ 162,635","$ 213,458","$ 254,117","$ 172,799","$ 207,359","$ 248,831","$ 223,623","$ 257,166","$ 306,028","$ 190,079","$ 218,591","$ 260,124",
1," 207,966 "," 166,373 "," 218,364 "," 259,958 "," 176,771 "," 212,125 "," 254,551 "," 228,763 "," 263,077 "," 313,062 "," 194,448 "," 223,616 "," 266,103 ",CO,0B,Crisp condo in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/0-2.png,"$ 207,966","$ 166,373","$ 218,364","$ 259,958","$ 176,771","$ 212,125","$ 254,551","$ 228,763","$ 263,077","$ 313,062","$ 194,448","$ 223,616","$ 266,103",
1," 219,631 "," 175,705 "," 230,613 "," 274,539 "," 186,686 "," 224,024 "," 268,828 "," 241,594 "," 277,833 "," 330,622 "," 205,355 "," 236,158 "," 281,028 ",CO,0B,Outstanding condo in Colorado!,https://raw.githubusercontent.com/attila5287/pr3-RegroPoly-assets-herokuAPP/master/0-1.png,"$ 219,631","$ 175,705","$ 230,613","$ 274,539","$ 186,686","$ 224,024","$ 268,828","$ 241,594","$ 277,833","$ 330,622","$ 205,355","$ 236,158","$ 281,028",
