DATE,MORTGAGE15US
2015-10-01,3.01
2015-11-01,3.1625
2015-12-01,3.206
2016-01-01,3.155
2016-02-01,2.96
2016-03-01,2.966
2016-04-01,2.87
2016-05-01,2.8425
2016-06-01,2.842
2016-07-01,2.7475
2016-08-01,2.745
2016-09-01,2.756
2016-10-01,2.7625
2016-11-01,3.0275
2016-12-01,3.428
2017-01-01,3.3875
2017-02-01,3.38
2017-03-01,3.414
2017-04-01,3.3
2017-05-01,3.255
2017-06-01,3.174
2017-07-01,3.235
2017-08-01,3.16
2017-09-01,3.105
2017-10-01,3.2
2017-11-01,3.288
2017-12-01,3.385
2018-01-01,3.4825
2018-02-01,3.785
2018-03-01,3.91
2018-04-01,3.925
2018-05-01,4.066
2018-06-01,4.04
2018-07-01,4.0075
2018-08-01,4.018
2018-09-01,4.08
2018-10-01,4.2475
2018-11-01,4.282
2018-12-01,4.09
2019-01-01,4.09
